"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testAddTag","Surefire suite","Tue Jul 01 21:39:08 GMT 2025","skipped","Tue Jul 01 21:39:08 GMT 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","1","testClickDropDownChooseOtherItem","Surefire suite","Tue Jul 01 21:39:07 GMT 2025","skipped","Tue Jul 01 21:39:07 GMT 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testClickDropDownChooseOtherItem"
"","0","setUp","Surefire suite","Tue Jul 01 21:39:07 GMT 2025","broken","Tue Jul 01 21:39:07 GMT 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","setUp"
"","1","testGetDropDownTitle","Surefire suite","Tue Jul 01 21:39:07 GMT 2025","skipped","Tue Jul 01 21:39:07 GMT 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testGetDropDownTitle"
"","1","testPopUpText","Surefire suite","Tue Jul 01 21:39:07 GMT 2025","skipped","Tue Jul 01 21:39:07 GMT 2025","playground.tests.PopUpWindowTest","Surefire test","playground.tests.PopUpWindowTest","testPopUpText"
"","0","setUp","Surefire suite","Tue Jul 01 21:39:07 GMT 2025","broken","Tue Jul 01 21:39:07 GMT 2025","playground.tests.DynamicTest","Surefire test","playground.tests.DynamicTest","setUp"
"","1","testAddTag","Surefire suite","Tue Jul 01 21:39:08 GMT 2025","skipped","Tue Jul 01 21:39:08 GMT 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","1","testContainsItemAs","Surefire suite","Tue Jul 01 21:39:07 GMT 2025","skipped","Tue Jul 01 21:39:07 GMT 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testContainsItemAs"
"","1","testGetTitleOnBoardingPage","Surefire suite","Tue Jul 01 21:39:08 GMT 2025","skipped","Tue Jul 01 21:39:08 GMT 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testGetTitleOnBoardingPage"
"","0","testMainPage","Surefire suite","Tue Jul 01 21:39:07 GMT 2025","skipped","Tue Jul 01 21:39:07 GMT 2025","playground.tests.PlayGroundMainTest","Surefire test","playground.tests.PlayGroundMainTest","testMainPage"
